#      mass       lower       upper
 7.2929e+00  5.9948e-14  8.4975e-11
 7.3286e+00  5.9948e-14  8.4975e-11
 7.3645e+00  5.9948e-14  8.4975e-11
 7.4006e+00  5.9948e-14  8.4975e-11
 7.4369e+00  4.9770e-14  7.0548e-11
 7.4733e+00  4.9770e-14  7.0548e-11
 7.5099e+00  4.9770e-14  7.0548e-11
 7.5468e+00  4.9770e-14  7.0548e-11
 7.5837e+00  4.9770e-14  7.0548e-11
 7.6209e+00  4.9770e-14  7.0548e-11
 7.6582e+00  4.9770e-14  7.0548e-11
 7.6958e+00  4.9770e-14  7.0548e-11
 7.7335e+00  4.9770e-14  7.0548e-11
 7.7714e+00  4.9770e-14  7.0548e-11
 7.8095e+00  4.9770e-14  7.0548e-11
 7.8477e+00  4.9770e-14  7.0548e-11
 7.8862e+00  4.9770e-14  7.0548e-11
 7.9248e+00  4.9770e-14  7.0548e-11
 7.9637e+00  4.9770e-14  7.0548e-11
 8.0027e+00  4.9770e-14  7.0548e-11
 8.0419e+00  4.9770e-14  7.0548e-11
 8.0813e+00  4.9770e-14  7.0548e-11
 8.1209e+00  4.9770e-14  5.8570e-11
 8.1607e+00  4.9770e-14  5.8570e-11
 8.2007e+00  4.9770e-14  5.8570e-11
 8.2409e+00  4.9770e-14  5.8570e-11
 8.2813e+00  4.9770e-14  5.8570e-11
 8.3219e+00  4.9770e-14  5.8570e-11
 8.3626e+00  4.9770e-14  5.8570e-11
 8.4036e+00  4.9770e-14  5.8570e-11
 8.4448e+00  4.9770e-14  5.8570e-11
 8.4862e+00  4.9770e-14  5.8570e-11
 8.5278e+00  4.9770e-14  5.8570e-11
 8.5696e+00  4.9770e-14  5.8570e-11
 8.6115e+00  4.9770e-14  5.8570e-11
 8.6538e+00  4.9770e-14  5.8570e-11
 8.6962e+00  4.9770e-14  5.8570e-11
 8.7388e+00  4.9770e-14  5.8570e-11
 8.7816e+00  4.9770e-14  5.8570e-11
 8.8246e+00  4.9770e-14  4.8626e-11
 8.8679e+00  4.9770e-14  4.8626e-11
 8.9113e+00  4.9770e-14  4.8626e-11
 8.9550e+00  4.9770e-14  4.8626e-11
 8.9989e+00  4.1320e-14  4.8626e-11
 9.0430e+00  4.1320e-14  4.8626e-11
 9.0873e+00  4.1320e-14  4.8626e-11
 9.1318e+00  4.1320e-14  4.8626e-11
 9.1766e+00  4.1320e-14  4.8626e-11
 9.2215e+00  4.1320e-14  4.8626e-11
 9.2667e+00  4.1320e-14  4.8626e-11
 9.3121e+00  4.1320e-14  4.8626e-11
 9.3578e+00  4.1320e-14  4.8626e-11
 9.4036e+00  4.1320e-14  4.8626e-11
 9.4497e+00  4.1320e-14  4.8626e-11
 9.4960e+00  4.1320e-14  4.8626e-11
 9.5426e+00  4.1320e-14  4.8626e-11
 9.5893e+00  4.1320e-14  4.8626e-11
 9.6363e+00  4.1320e-14  4.0370e-11
 9.6835e+00  4.1320e-14  4.0370e-11
 9.7310e+00  4.1320e-14  4.0370e-11
 9.7787e+00  4.1320e-14  4.0370e-11
 9.8266e+00  4.1320e-14  4.0370e-11
 9.8747e+00  4.1320e-14  4.0370e-11
 9.9231e+00  4.1320e-14  4.0370e-11
 9.9718e+00  4.1320e-14  4.0370e-11
 1.0021e+01  4.1320e-14  4.0370e-11
 1.0070e+01  4.1320e-14  4.0370e-11
 1.0119e+01  4.1320e-14  4.0370e-11
 1.0169e+01  4.1320e-14  4.0370e-11
 1.0219e+01  4.1320e-14  4.0370e-11
 1.0269e+01  4.1320e-14  4.0370e-11
 1.0319e+01  4.1320e-14  4.0370e-11
 1.0369e+01  4.1320e-14  4.0370e-11
 1.0420e+01  4.1320e-14  4.0370e-11
 1.0471e+01  4.1320e-14  3.3516e-11
 1.0523e+01  4.1320e-14  3.3516e-11
 1.0574e+01  4.1320e-14  3.3516e-11
 1.0626e+01  4.1320e-14  3.3516e-11
 1.0678e+01  4.1320e-14  3.3516e-11
 1.0730e+01  4.1320e-14  3.3516e-11
 1.0783e+01  4.1320e-14  3.3516e-11
 1.0836e+01  3.4305e-14  3.3516e-11
 1.0889e+01  3.4305e-14  3.3516e-11
 1.0942e+01  3.4305e-14  3.3516e-11
 1.0996e+01  3.4305e-14  3.3516e-11
 1.1050e+01  3.4305e-14  3.3516e-11
 1.1104e+01  3.4305e-14  3.3516e-11
 1.1158e+01  3.4305e-14  3.3516e-11
 1.1213e+01  3.4305e-14  3.3516e-11
 1.1268e+01  3.4305e-14  3.3516e-11
 1.1323e+01  3.4305e-14  3.3516e-11
 1.1379e+01  3.4305e-14  2.7826e-11
