pdg,px,py,pz,vx,vy,vz
211,-0.00580698,-0.00741485,0.983115,-11.1,-21.4554,1166.85
211,-0.00580698,-0.00741485,0.983115,-11.1,-21.4554,1166.85
211,0.013772,0.0135846,2.54352,28.0485,34.7561,4444.15
211,0.0435635,-0.0200171,1.4692,31.4799,-7.92026,1208.53
-211,0.0182803,0.0738636,0.434489,-41.3429,-29.3105,1851.33
-211,0.0182803,0.0738636,0.434489,-41.3429,-29.3105,1851.33
211,0.0245009,0.0377214,-0.0988917,65.9965,4.85613,1976.02
211,0.00271618,0.00223021,0.704716,7.73775,-2.56844,2378.22
211,0.00271618,0.00223021,0.704716,7.73775,-2.56844,2378.22
211,-0.00183455,0.015253,1.42177,-4.49204,8.92608,2088.24
211,-0.00183455,0.015253,1.42177,-4.49204,8.92608,2088.24
211,-0.0519,0.0558616,1.92366,-38.4207,40.2324,1749.62
211,-0.0519,0.0558616,1.92366,-38.4207,40.2324,1749.62
211,-0.0286181,0.0182613,-0.235603,36.0353,-0.966924,958.678
211,-0.00443326,-0.00604177,1.15136,-11.94,-22.7263,2078.39
211,-0.00443326,-0.00604177,1.15136,-11.94,-22.7263,2078.39
211,-0.0116992,-0.00778026,1.49709,-0.572804,3.06095,628.591
211,-0.0652196,0.0218783,1.45529,-58.0957,16.8901,1261.2
211,-0.0318622,0.0375132,1.1302,-25.6995,32.3179,799.861
211,0.00636932,-0.0290842,1.81041,4.79471,-26.5855,2172.71
211,0.0149656,-0.0184753,2.39047,30.4545,-27.7367,4408.79
211,0.0437826,-0.0333433,1.25412,57.222,-44.4481,1803.89
211,0.0437826,-0.0333433,1.25412,57.222,-44.4481,1803.89
211,0.0437826,-0.0333433,1.25412,57.222,-44.4481,1803.89
211,0.00662693,-0.00610937,0.183705,-4.93199,-4.52851,293.166
211,0.00803059,0.0173194,1.68168,32.6942,35.2638,3768.98
211,0.00651628,-0.0150295,0.383503,2.59112,-13.8886,301.504
211,-5.84647e-06,-0.0546955,3.69439,-0.122618,-7.54269,198.48
211,0.0223486,0.0581848,2.97744,0.293124,2.97549,187.479
-211,0.0581369,0.045575,0.519561,-38.4734,-73.598,4401.05
211,0.0042737,-0.000214234,1.27582,-2.75413,1.96634,2094.29
211,0.0042737,-0.000214234,1.27582,-2.75413,1.96634,2094.29
211,0.0042737,-0.000214234,1.27582,-2.75413,1.96634,2094.29
211,-0.00186157,-0.00181075,0.655702,7.46588,-33.8347,2884.69
211,-0.0348049,-0.121578,0.955544,-5.21803,-16.6267,165.358
211,-0.0348049,-0.121578,0.955544,-5.21803,-16.6267,165.358
211,-0.0348049,-0.121578,0.955544,-5.21803,-16.6267,165.358
211,-0.0348049,-0.121578,0.955544,-5.21803,-16.6267,165.358
-211,0.0823992,-0.154817,0.103775,92.8023,-43.9833,1540.38
211,-0.0490173,-0.0757491,2.03572,-4.41657,-8.0144,151.717
211,0.00856709,0.0203794,-0.00338328,72.3407,53.4756,1980.9
211,0.0178931,-0.00439624,1.37612,18.1572,-7.14358,3033.72
211,0.0178931,-0.00439624,1.37612,18.1572,-7.14358,3033.72
211,0.0178931,-0.00439624,1.37612,18.1572,-7.14358,3033.72
211,-0.0800879,0.0068901,3.32851,-18.2256,2.0679,722.788
211,-0.0800879,0.0068901,3.32851,-18.2256,2.0679,722.788
-211,0.0168371,-0.0328243,-0.00873361,-12.4576,-7.73096,3542.06
-211,-0.00258547,-0.00444571,-0.235238,-28.5679,25.6376,4711.43
-211,-0.00258547,-0.00444571,-0.235238,-28.5679,25.6376,4711.43
-211,-0.00258547,-0.00444571,-0.235238,-28.5679,25.6376,4711.43
-211,-0.00258547,-0.00444571,-0.235238,-28.5679,25.6376,4711.43
-211,0.216485,0.117163,0.517532,52.7322,14.1179,192.61
-211,-0.135062,-0.0262599,1.94474,-1.79771,-0.345834,31.1853
-211,0.0164339,-0.0217828,0.0838626,24.9937,3.72012,5043.52
-211,-0.0606055,0.0366743,0.399264,-7.52319,7.76835,219.655
-211,0.0658046,-0.321998,0.715258,23.608,-109.549,288.618
211,-0.0261925,-0.0388926,0.857686,41.921,-13.8461,3580
211,-0.0261925,-0.0388926,0.857686,41.921,-13.8461,3580
211,-0.0261925,-0.0388926,0.857686,41.921,-13.8461,3580
211,-0.0261925,-0.0388926,0.857686,41.921,-13.8461,3580
211,-0.0261925,-0.0388926,0.857686,41.921,-13.8461,3580
211,0.027367,0.0405404,0.786303,39.8851,60.9469,1484.51
211,-0.00886238,-0.0310411,0.124243,-4.1973,0.834269,199.541
211,-0.0136892,-0.0246087,2.86244,-16.696,-24.1092,3111.09
211,0.00360208,-0.0034972,0.30021,-18.0741,5.69764,428.914
211,0.00360208,-0.0034972,0.30021,-18.0741,5.69764,428.914
211,-0.210839,-0.135417,4.87159,-31.7691,-20.0191,744.84
211,-0.0042582,-0.00211233,0.616233,-32.8099,19.9797,3726.34
211,-0.0316206,-0.060235,2.17655,-1.35007,-0.468939,265.028
211,0.0440538,-0.14472,1.22714,11.0592,-35.5594,282.092
211,0.0656297,-0.0197353,1.62111,63.0671,-17.6849,1879.75
211,0.0303609,-0.049629,1.13461,24.6396,-40.1029,760.413
211,-0.0346899,0.00524591,0.886859,-7.49288,1.4026,476.937
211,-0.0346899,0.00524591,0.886859,-7.49288,1.4026,476.937
211,-0.0346899,0.00524591,0.886859,-7.49288,1.4026,476.937
211,0.00963776,0.0182304,1.15461,42.8005,33.4487,2789.64
