m_B,deltaE,nFlux_pi0,nFlux_eta
1.69822,50,0,0
1.69822,60,0,0
1.69822,70,21,0
1.69822,80,52,0
1.69822,90,36,0
1.69822,100,33,0
1.69822,110,34,0
1.69822,120,26,0
1.69822,130,29,0
1.69822,140,25,0
1.69822,150,44,0
1.69822,160,35,0
1.69822,170,23,0
1.69822,180,33,0
1.69822,190,37,0
1.69822,200,37,0
1.69822,210,43,0
1.69822,220,34,0
1.69822,230,32,0
1.69822,240,21,0
1.69822,250,49,0
1.69822,260,39,0
1.69822,270,38,0
1.69822,280,41,1
1.69822,290,39,4
1.69822,300,39,5
1.69822,310,26,4
1.69822,320,52,5
1.69822,330,47,5
1.69822,340,33,2
1.69822,350,38,1
1.69822,360,38,3
1.69822,370,30,3
1.69822,380,29,3
1.69822,390,36,2
1.69822,400,23,2
1.69822,410,16,5
1.69822,420,35,2
1.69822,430,27,6
1.69822,440,29,5
1.69822,450,29,8
1.69822,460,33,4
1.69822,470,30,2
1.69822,480,35,0
1.69822,490,39,2
1.69822,500,24,2
1.69822,510,38,5
1.69822,520,24,8
1.69822,530,27,8
1.69822,540,47,2
1.69822,550,26,2
1.69822,560,30,1
1.69822,570,40,4
1.69822,580,37,12
1.69822,590,29,5
1.69822,600,13,3
1.69822,610,16,12
1.69822,620,21,3
1.69822,630,26,5
1.69822,640,19,6
1.69822,650,22,0
1.69822,660,22,6
1.69822,670,18,4
1.69822,680,14,1
1.69822,690,15,3
1.69822,700,6,6
1.69822,710,12,11
1.69822,720,13,7
1.69822,730,14,10
1.69822,740,18,9
1.69822,750,20,7
1.69822,760,14,3
1.69822,770,14,9
1.69822,780,14,4
1.69822,790,18,4
1.69822,800,14,8
1.69822,810,11,12
1.69822,820,11,2
1.69822,830,21,2
1.69822,840,17,10
1.69822,850,18,13
1.69822,860,22,5
1.69822,870,16,3
1.69822,880,21,2
1.69822,890,34,10
1.69822,900,11,15
1.69822,910,6,13
1.69822,920,8,6
1.69822,930,5,2
1.69822,940,9,12
1.69822,950,7,5
1.69822,960,5,6
1.69822,970,6,4
1.69822,980,8,11
1.69822,990,1,10
1.80951,0,0,0
1.80951,10,0,0
1.80951,20,0,0
1.80951,30,0,0
1.80951,40,0,0
1.80951,50,0,0
1.80951,60,0,0
1.80951,70,40,0
1.80951,80,40,0
1.80951,90,44,0
1.80951,100,35,0
1.80951,110,38,0
1.80951,120,26,0
1.80951,130,20,0
1.80951,140,20,0
1.80951,150,36,0
1.80951,160,41,0
1.80951,170,31,0
1.80951,180,47,0
1.80951,190,39,0
1.80951,200,24,0
1.80951,210,43,0
1.80951,220,30,0
1.80951,230,37,0
1.80951,240,24,0
1.80951,250,39,0
1.80951,260,27,0
1.80951,270,33,0
1.80951,280,36,0
1.80951,290,46,4
1.80951,300,34,8
1.80951,310,25,4
1.80951,320,42,5
1.80951,330,33,6
1.80951,340,28,1
1.80951,350,49,3
1.80951,360,36,3
1.80951,370,21,3
1.80951,380,26,4
1.80951,390,45,3
1.80951,400,29,2
1.80951,410,26,4
1.80951,420,26,1
1.80951,430,25,2
1.80951,440,23,7
1.80951,450,29,5
1.80951,460,34,7
1.80951,470,29,2
1.80951,480,29,2
1.80951,490,40,10
1.80951,500,30,1
1.80951,510,23,8
1.80951,520,27,11
1.80951,530,26,9
1.80951,540,39,4
1.80951,550,33,6
1.80951,560,23,4
1.80951,570,49,4
1.80951,580,43,12
1.80951,590,26,6
1.80951,600,17,2
1.80951,610,26,6
1.80951,620,24,10
1.80951,630,27,6
1.80951,640,20,10
1.80951,650,13,0
1.80951,660,28,5
1.80951,670,12,8
1.80951,680,15,3
1.80951,690,18,2
1.80951,700,16,6
1.80951,710,19,4
1.80951,720,12,2
1.80951,730,16,4
1.80951,740,14,7
1.80951,750,23,8
1.80951,760,13,1
1.80951,770,11,6
1.80951,780,16,4
1.80951,790,15,5
1.80951,800,15,5
1.80951,810,14,7
1.80951,820,14,2
1.80951,830,11,5
1.80951,840,15,4
1.80951,850,18,14
1.80951,860,17,4
1.80951,870,22,5
1.80951,880,28,5
1.80951,890,30,7
1.80951,900,11,13
1.80951,910,11,13
1.80951,920,7,4
1.80951,930,11,2
1.80951,940,8,12
