#      mass       lower       upper
4.8606000e+00 4.9770236e-14 1.7886495e-10
4.8844200e+00 4.9770236e-14 1.7886495e-10
4.9083500e+00 4.9770236e-14 1.7886495e-10
4.9324100e+00 4.9770236e-14 1.7886495e-10
4.9565800e+00 4.9770236e-14 1.7886495e-10
4.9808700e+00 4.9770236e-14 1.7886495e-10
5.0052700e+00 4.9770236e-14 1.7886495e-10
5.0298000e+00 4.9770236e-14 1.7886495e-10
5.0544500e+00 4.9770236e-14 1.7886495e-10
5.0792200e+00 4.9770236e-14 1.7886495e-10
5.1041100e+00 4.9770236e-14 1.7886495e-10
5.1291200e+00 4.1320124e-14 1.7886495e-10
5.1542500e+00 4.1320124e-14 1.7886495e-10
5.1795100e+00 4.1320124e-14 1.7886495e-10
5.2048900e+00 4.1320124e-14 1.7886495e-10
5.2304000e+00 4.1320124e-14 1.7886495e-10
5.2560300e+00 4.1320124e-14 1.7886495e-10
5.2817900e+00 4.1320124e-14 1.7886495e-10
5.3076700e+00 4.1320124e-14 1.4849683e-10
5.3336800e+00 4.1320124e-14 1.4849683e-10
5.3598200e+00 4.1320124e-14 1.4849683e-10
5.3860800e+00 4.1320124e-14 1.4849683e-10
5.4124700e+00 4.1320124e-14 1.4849683e-10
5.4390000e+00 4.1320124e-14 1.4849683e-10
5.4656500e+00 4.1320124e-14 1.4849683e-10
5.4924300e+00 4.1320124e-14 1.4849683e-10
5.5193500e+00 4.1320124e-14 1.4849683e-10
5.5464000e+00 4.1320124e-14 1.4849683e-10
5.5735800e+00 4.1320124e-14 1.4849683e-10
5.6008900e+00 4.1320124e-14 1.4849683e-10
5.6283300e+00 4.1320124e-14 1.4849683e-10
5.6559200e+00 4.1320124e-14 1.4849683e-10
5.6836300e+00 4.1320124e-14 1.4849683e-10
5.7114800e+00 4.1320124e-14 1.4849683e-10
5.7394700e+00 4.1320124e-14 1.4849683e-10
5.7676000e+00 4.1320124e-14 1.2328467e-10
5.7958600e+00 4.1320124e-14 1.2328467e-10
5.8242600e+00 4.1320124e-14 1.2328467e-10
5.8528000e+00 4.1320124e-14 1.2328467e-10
5.8814800e+00 4.1320124e-14 1.2328467e-10
5.9103100e+00 4.1320124e-14 1.2328467e-10
5.9392700e+00 4.1320124e-14 1.2328467e-10
5.9683700e+00 4.1320124e-14 1.2328467e-10
5.9976200e+00 4.1320124e-14 1.2328467e-10
6.0270100e+00 4.1320124e-14 1.2328467e-10
6.0565500e+00 4.1320124e-14 1.2328467e-10
6.0862300e+00 4.1320124e-14 1.2328467e-10
6.1160500e+00 4.1320124e-14 1.2328467e-10
6.1460200e+00 4.1320124e-14 1.2328467e-10
6.1761400e+00 3.4304693e-14 1.2328467e-10
6.2064000e+00 3.4304693e-14 1.2328467e-10
6.2368200e+00 3.4304693e-14 1.2328467e-10
6.2673800e+00 3.4304693e-14 1.2328467e-10
6.2980900e+00 3.4304693e-14 1.0235310e-10
6.3289600e+00 3.4304693e-14 1.0235310e-10
6.3599700e+00 3.4304693e-14 1.0235310e-10
6.3911400e+00 3.4304693e-14 1.0235310e-10
6.4224600e+00 3.4304693e-14 1.0235310e-10
6.4539300e+00 3.4304693e-14 1.0235310e-10
6.4855500e+00 3.4304693e-14 1.0235310e-10
6.5173400e+00 3.4304693e-14 1.0235310e-10
6.5492700e+00 3.4304693e-14 1.0235310e-10
6.5813700e+00 3.4304693e-14 1.0235310e-10
6.6136200e+00 3.4304693e-14 1.0235310e-10
6.6460300e+00 3.4304693e-14 1.0235310e-10
6.6786000e+00 3.4304693e-14 1.0235310e-10
6.7113200e+00 3.4304693e-14 1.0235310e-10
6.7442100e+00 3.4304693e-14 1.0235310e-10
6.7772600e+00 3.4304693e-14 1.0235310e-10
6.8104700e+00 3.4304693e-14 1.0235310e-10
6.8438500e+00 3.4304693e-14 8.4975344e-11
6.8773800e+00 3.4304693e-14 8.4975344e-11
6.9110800e+00 3.4304693e-14 8.4975344e-11
6.9449500e+00 3.4304693e-14 8.4975344e-11
6.9789800e+00 3.4304693e-14 8.4975344e-11
7.0131800e+00 3.4304693e-14 8.4975344e-11
7.0475500e+00 3.4304693e-14 8.4975344e-11
7.0820900e+00 3.4304693e-14 8.4975344e-11
7.1167900e+00 3.4304693e-14 8.4975344e-11
7.1516700e+00 3.4304693e-14 8.4975344e-11
7.1867100e+00 3.4304693e-14 8.4975344e-11
7.2219300e+00 3.4304693e-14 8.4975344e-11
7.2573200e+00 3.4304693e-14 8.4975344e-11
7.2928800e+00 3.4304693e-14 8.4975344e-11
7.3286200e+00 3.4304693e-14 8.4975344e-11
7.3645300e+00 3.4304693e-14 8.4975344e-11
7.4006200e+00 3.4304693e-14 8.4975344e-11
7.4368900e+00 2.8480359e-14 7.0548023e-11
7.4733300e+00 2.8480359e-14 7.0548023e-11
7.5099500e+00 2.8480359e-14 7.0548023e-11
7.5467600e+00 2.8480359e-14 7.0548023e-11
7.5837400e+00 2.8480359e-14 7.0548023e-11
7.6209000e+00 2.8480359e-14 7.0548023e-11
7.6582500e+00 2.8480359e-14 7.0548023e-11
7.6957700e+00 2.8480359e-14 7.0548023e-11
7.7334900e+00 2.8480359e-14 7.0548023e-11
7.7713800e+00 2.8480359e-14 7.0548023e-11
7.8094700e+00 2.8480359e-14 7.0548023e-11
7.8477400e+00 2.8480359e-14 7.0548023e-11
7.8861900e+00 2.8480359e-14 7.0548023e-11
7.9248400e+00 2.8480359e-14 7.0548023e-11
7.9636700e+00 2.8480359e-14 7.0548023e-11
8.0027000e+00 2.8480359e-14 7.0548023e-11
8.0419100e+00 2.8480359e-14 7.0548023e-11
8.0813200e+00 2.8480359e-14 7.0548023e-11
8.1209200e+00 2.8480359e-14 5.8570208e-11
8.1607200e+00 2.8480359e-14 5.8570208e-11
8.2007100e+00 2.8480359e-14 5.8570208e-11
8.2409000e+00 2.8480359e-14 5.8570208e-11
8.2812800e+00 2.8480359e-14 5.8570208e-11
8.3218600e+00 2.8480359e-14 5.8570208e-11
8.3626400e+00 2.8480359e-14 5.8570208e-11
8.4036200e+00 2.8480359e-14 5.8570208e-11
8.4448000e+00 2.8480359e-14 5.8570208e-11
8.4861800e+00 2.8480359e-14 5.8570208e-11
8.5277700e+00 2.8480359e-14 5.8570208e-11
8.5695600e+00 2.8480359e-14 5.8570208e-11
8.6115500e+00 2.8480359e-14 5.8570208e-11
8.6537500e+00 2.8480359e-14 5.8570208e-11
8.6961600e+00 2.8480359e-14 5.8570208e-11
8.7387700e+00 2.8480359e-14 5.8570208e-11
